Facility_Code,Facility_Name,State,Fac_Coords_Method
MIM,MIAMI FDC,FL,BOP Official
MNA,MARIANNA FCI,FL,BOP Official
MON,MONTGOMERY FPC,AL,BOP Official
MRG,MORGANTOWN FCI,WV,BOP Official
MVC,MOSHANNON VALLEY CI,PA,NA
NEL,NELLIS FPC,NV,NA
NEO,NE OHIO CORR CTR CI,OH,NA
NLK,NORTH LAKE CI,MI,NA
NYM,NEW YORK MCC,NY,BOP Official
OAD,OAKDALE II FCI,LA,U.S. Census
OAK,OAKDALE I FCI,LA,U.S. Census
OKL,OKLAHOMA CITY FTC,OK,BOP Official
OTV,OTISVILLE FCI,NY,BOP Official
OXF,OXFORD FCI,WI,BOP Official
PEK,PEKIN FCI,IL,BOP Official
PEM,PETERSBURG MED FCI,VA,U.S. Census
PEN,PENSACOLA FPC,FL,BOP Official
PET,PETERSBURG FCI,VA,U.S. Census
PHL,PHILADELPHIA FDC,PA,BOP Official
PHX,PHOENIX FCI,AZ,BOP Official
POL,POLLOCK USP,LA,U.S. Census
POM,POLLOCK MED FCI,LA,U.S. Census
PPR,PINE PRAIRIE CI,LA,NA
RBK,RAY BROOK FCI,NY,BOP Official
RCH,ROCHESTER FMC,MN,BOP Official
REE,REEVES CI,TX,NA
RIV,RIVERS CI,NC,NA
RVS,REEVES DC,TX,NA
SAF,SAFFORD FCI,AZ,BOP Official
SCH,SCHUYLKILL FCI,PA,BOP Official
SDC,SAN DIEGO MCC,CA,BOP Official
SEA,SEAGOVILLE FCI,TX,BOP Official
SET,SEATAC FDC,WA,BOP Official
SEY,SEYMOUR JOHNSN FPC,CA,NA
SHE,SHERIDAN FCI,OR,BOP Official
SPG,SPRINGFIELD USMCFP,MO,BOP Official
SST,SANDSTONE FCI,MN,BOP Official
TAF,TAFT CI,CA,NA
TAL,TALLAHASSEE FCI,FL,BOP Official
TCN,TUCSON FCI,AZ,U.S. Census
TCP,TUCSON USP,AZ,U.S. Census
TDG,TALLADEGA FCI,AL,BOP Official
TEX,TEXARKANA FCI,TX,BOP Official
THA,TERRE HAUTE FCI,IN,U.S. Census
THP,TERRE HAUTE USP,IN,U.S. Census
TOM,THOMSON ADMIN USP,IL,BOP Official
TRM,TERMINAL ISLAND FCI,CA,BOP Official
TRV,THREE RIVERS FCI,TX,BOP Official
VIM,VICTORVILLE MED I FCI,CA,U.S. Census
VIP,VICTORVILLE USP,CA,U.S. Census
VVM,VICTORVILLE MED II FCI,CA,U.S. Census
WAS,WASECA FCI,MN,BOP Official
WIL,WILLIAMSBURG FCI,SC,BOP Official
WLC,WILLACY CI,TX,NA
YAM,YAZOO CITY MED FCI,MS,U.S. Census
YAN,YANKTON FPC,SD,BOP Official
YAP,YAZOO CITY USP,MS,U.S. Census
YAZ,YAZOO CITY FCI,MS,U.S. Census
