CASENBR,ITERLVL,CDFCLEVN,CDFCLRCV,CDOFCRCV,CDSTATUS,STATRSN1,STATRSN2,STATRSN3,STATRSN4,STATRSN5,CDSUB1PR,CDSUB1SC,sdtdue,sdtstat,sitdtrcv,accept,reject,deny,grant,other,submit,filed,diffreg_filed,diffinst,closed,comptime,timely,diffreg_answer,overdue,untimely,resubmit,noinfres,attachmt,wronglvl,otherrej,cdsub1cb,subcount,rejcount,cldclocount,clgacccount,earliest_sitdtrcv,latest_sdtstat,days_between
768862,R,BRO,BRO,NER,REJ,UTR,OTH,RSR,,,20,D,,2014-03-25,2014-03-19,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,2,2,0,0,2014-02-20,2014-03-25,33
763123,R,NYM,NYM,NER,REJ,UTR,RSR,OTH,,,20,D,,2014-03-25,2014-03-19,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,5,5,0,0,2013-12-30,2014-03-25,85
771967,F,OTV,OTV,OTV,CLO,XPL,,,,,34,A,2014-04-07,2014-04-07,2014-03-18,0,0,0,0,1,1,1,,0.0,1,20.0,1.0,,,,,,,,,34A,1,0,1,0,2014-03-18,2014-04-07,20
758608,A,BRO,CAA,BOP,CLD,DNY,,,,,20,A,2014-05-17,2015-09-10,2014-03-18,0,0,1,0,0,1,1,,1.0,1,541.0,0.0,,,,,,,,,20A,4,2,2,0,2013-11-20,2015-09-10,659
748942,A,OTV,FTD,BOP,CLO,XPL,,,,,21,A,2014-05-17,2014-05-06,2014-03-18,0,0,0,0,1,1,1,,1.0,1,49.0,1.0,,,,,,,,,21A,4,1,2,1,2013-09-06,2014-05-06,242
766005,R,RBK,RBK,NER,REJ,UTR,OTH,RSR,,,20,D,,2014-03-19,2014-03-17,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,3,3,0,0,2014-01-24,2014-03-19,54
772078,R,CNK,NYM,NER,REJ,OTH,,,,,20,E,,2014-03-19,2014-03-17,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20E,1,1,0,0,2014-03-17,2014-03-19,2
769145,R,RBK,RBK,NER,CLD,DNY,,,,,30,A,2014-04-16,2014-04-16,2014-03-17,0,0,1,0,0,1,1,0.0,0.0,1,30.0,1.0,0.0,,,,,,,,30A,2,0,2,0,2014-02-19,2014-04-16,56
771950,R,OTV,BSY,NER,REJ,UTR,OTH,RSR,,,20,D,,2014-03-19,2014-03-14,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2014-03-14,2014-03-19,5
771931,R,OTV,COP,NER,REJ,WRL,OTH,,,,20,D,,2014-03-19,2014-03-14,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,20D,1,1,0,0,2014-03-14,2014-03-19,5
767300,R,RBK,RBK,NER,CLD,DNY,,,,,30,A,2014-04-12,2014-04-11,2014-03-13,0,0,1,0,0,1,1,0.0,0.0,1,29.0,1.0,0.0,,,,,,,,30A,2,0,2,0,2014-02-05,2014-04-11,65
771533,F,BRO,BRO,BRO,REJ,FRM,INF,MLT,MSI,ONE,26,E,,2014-03-17,2014-03-13,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,26E,1,1,0,0,2014-03-13,2014-03-17,4
769246,F,BRO,BRO,BRO,REJ,CON,UTF,,,,33,H,,2014-03-17,2014-03-13,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,33H,2,2,0,0,2014-02-25,2014-03-17,20
771530,F,BRO,BRO,BRO,REJ,FRM,INF,MLT,MSI,ONE,33,Z,,2014-03-17,2014-03-13,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,33Z,1,1,0,0,2014-03-13,2014-03-17,4
765123,R,BRO,BRO,NER,REJ,INS,,,,,21,A,,2014-03-14,2014-03-13,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,21A,3,3,0,0,2014-01-17,2014-03-14,56
761892,A,NYM,CPA,BOP,REJ,RAP,RSA,,,,25,C,,2014-04-11,2014-03-13,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,25C,3,1,2,0,2013-12-19,2014-04-11,113
771023,F,BRO,BRO,BRO,CLG,PAR,,,,,26,A,2014-04-21,2014-04-09,2014-03-12,0,0,0,1,0,1,1,,0.0,1,28.0,1.0,,,,,,,,,26A,1,0,0,1,2014-03-12,2014-04-09,28
771003,F,BRO,BRO,BRO,CLO,WDN,,,,,25,D,2014-04-01,2014-03-13,2014-03-12,0,0,0,0,1,1,1,,0.0,1,1.0,1.0,,,,,,,,,25D,1,0,1,0,2014-03-12,2014-03-13,1
771005,F,BRO,BRO,BRO,CLD,DNY,,,,,21,A,2014-04-01,2014-03-31,2014-03-12,0,0,1,0,0,1,1,,0.0,1,19.0,1.0,,,,,,,,,21A,1,0,1,0,2014-03-12,2014-03-31,19
768828,F,BRO,BRO,BRO,CLO,XPL,,,,,31,Z,2014-04-21,2014-05-02,2014-03-12,0,0,0,0,1,1,1,,0.0,1,51.0,0.0,,,,,,,,,31Z,2,1,1,0,2014-02-03,2014-05-02,88
771325,R,OTV,OTV,NER,CLG,PAR,,,,,20,C,2014-04-11,2014-04-11,2014-03-12,0,0,0,1,0,1,1,0.0,0.0,1,30.0,1.0,0.0,,,,,,,,20C,1,0,0,1,2014-03-12,2014-04-11,30
772898,F,RBK,RBK,RBK,REJ,OTH,,,,,30,A,,2014-03-24,2014-03-11,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,30A,1,1,0,0,2014-03-11,2014-03-24,13
767150,R,CNK,OKL,NER,REJ,UTR,OTH,RSR,QUA,WRL,20,E,,2014-03-11,2014-03-11,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,20E,3,3,0,0,2014-01-30,2014-03-11,40
762970,A,RBK,RBK,BOP,REJ,RAP,RSA,,,,20,D,,2014-04-09,2014-03-11,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,2,1,1,0,2013-12-26,2014-04-09,104
769276,R,BRO,BRO,NER,REJ,ONE,QUA,DHO,RSR,,20,C,,2014-03-11,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20C,2,2,0,0,2014-02-24,2014-03-11,15
767294,R,RBK,RBK,NER,CLD,DNY,,,,,25,B,2014-04-09,2014-04-09,2014-03-10,0,0,1,0,0,1,1,0.0,0.0,1,30.0,1.0,0.0,,,,,,,,25B,2,0,2,0,2014-01-22,2014-04-09,77
770824,R,BRO,BRO,NER,CLG,PAR,,,,,20,D,2014-04-09,2014-04-09,2014-03-10,0,0,0,1,0,1,1,0.0,0.0,1,30.0,1.0,0.0,,,,,,,,20D,1,0,0,1,2014-03-10,2014-04-09,30
762968,R,BRO,BRO,NER,REJ,UTR,OTH,RSR,QUA,,20,D,,2014-03-11,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,3,3,0,0,2013-12-26,2014-03-11,75
768497,R,BRO,BRO,NER,REJ,OTH,,,,,20,C,,2014-03-11,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20C,2,2,0,0,2014-02-18,2014-03-11,21
762371,A,BRO,BRO,BOP,CLO,XPL,,,,,26,A,2014-05-09,2014-06-09,2014-03-10,0,0,0,0,1,1,1,,0.0,1,91.0,0.0,,,,,,,,,26A,3,0,3,0,2013-12-23,2014-06-09,168
770776,F,OTV,OTV,OTV,CLO,XPL,,,,,26,B,2014-03-30,2014-03-19,2014-03-10,0,0,0,0,1,1,1,,0.0,1,9.0,1.0,,,,,,,,,26B,1,0,1,0,2014-03-10,2014-03-19,9
763132,R,BRO,BRO,NER,REJ,UTR,OTH,RSR,,,20,D,,2014-03-14,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,3,3,0,0,2013-12-31,2014-03-14,73
759403,R,BRO,BRO,NER,REJ,QUA,RSR,OTH,UTR,,26,B,,2014-03-11,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,26B,4,3,1,0,2013-11-27,2014-03-11,104
760218,A,RBK,RBK,BOP,CLD,DNY,,,,,31,A,2014-05-09,2014-05-02,2014-03-10,0,0,1,0,0,1,1,,0.0,1,53.0,1.0,,,,,,,,,31A,3,0,3,0,2013-12-02,2014-05-02,151
769248,F,BRO,BRO,BRO,REJ,UTF,,,,,21,A,,2014-03-10,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,21A,2,2,0,0,2014-02-25,2014-03-10,13
770879,R,BRO,BRO,NER,REJ,QUA,DHO,RSR,,,20,D,,2014-03-11,2014-03-10,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2014-03-10,2014-03-11,1
770699,F,OTV,OTV,OTV,CLO,XPL,,,,,34,A,2014-03-30,2014-03-28,2014-03-10,0,0,0,0,1,1,1,,0.0,1,18.0,1.0,,,,,,,,,34A,1,0,1,0,2014-03-10,2014-03-28,18
770618,R,CNK,BRO,NER,CLD,DNY,,,,,20,E,2014-04-06,2014-04-04,2014-03-07,0,0,1,0,0,1,1,0.0,1.0,1,28.0,1.0,0.0,,,,,,,,20E,1,0,1,0,2014-03-07,2014-04-04,28
770620,R,BRO,BRO,NER,REJ,OTH,,,,,20,E,,2014-03-10,2014-03-07,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20E,1,1,0,0,2014-03-07,2014-03-10,3
767273,R,RBK,RBK,NER,REJ,UTR,OTH,RSR,,,20,D,,2014-03-10,2014-03-07,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,2,2,0,0,2014-01-27,2014-03-10,42
770410,R,RBK,RBK,NER,CLG,PAR,,,,,20,D,2014-04-05,2014-04-04,2014-03-06,0,0,0,1,0,1,1,0.0,0.0,1,29.0,1.0,0.0,,,,,,,,20D,1,0,0,1,2014-03-06,2014-04-04,29
770421,R,RBK,RBK,NER,REJ,DHO,OTH,,,,20,B,,2014-03-06,2014-03-06,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20B,1,1,0,0,2014-03-06,2014-03-06,0
759918,A,OTV,OTV,BOP,CLD,DNY,,,,,34,Z,2014-05-04,2014-09-25,2014-03-05,0,0,1,0,0,1,1,,0.0,1,204.0,0.0,,,,,,,,,34Z,3,0,3,0,2013-12-03,2014-09-25,296
770344,R,BRO,BRO,NER,CLD,DNY,,,,,20,B,2014-04-04,2014-04-04,2014-03-05,0,0,1,0,0,1,1,0.0,0.0,1,30.0,1.0,0.0,,,,,,,,20B,1,0,1,0,2014-03-05,2014-04-04,30
770174,F,BRO,BRO,BRO,REJ,UTF,,,,,21,A,,2014-03-05,2014-03-05,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,21A,1,1,0,0,2014-03-05,2014-03-05,0
755021,A,RBK,CAA,BOP,REJ,RAP,RSA,,,,20,C,,2014-03-27,2014-03-05,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20C,3,2,1,0,2013-10-24,2014-03-27,154
735768,A,BRO,BRO,BOP,CLO,XPL,,,,,26,B,2014-05-04,2015-03-11,2014-03-05,0,0,0,0,1,1,1,,0.0,1,371.0,0.0,,,,,,,,,26B,5,2,2,1,2013-05-24,2015-03-11,656
749447,A,BRO,BRO,BOP,REJ,SIG,RSA,,,,20,B,,2014-03-27,2014-03-05,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20B,2,1,0,1,2013-09-11,2014-03-27,197
768498,R,BRO,BRO,NER,REJ,ONE,CPG,RSR,OTH,,20,C,,2014-03-06,2014-03-05,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,20C,2,2,0,0,2014-02-18,2014-03-06,16
770260,F,OTV,OTV,OTV,CLO,XPL,,,,,30,A,2014-03-25,2014-03-10,2014-03-05,0,0,0,0,1,1,1,,0.0,1,5.0,1.0,,,,,,,,,30A,1,0,1,0,2014-03-05,2014-03-10,5
769938,F,NYM,NYM,NYM,CLO,XPL,,,,,26,B,2014-04-13,2014-04-10,2014-03-04,0,0,0,0,1,1,1,,0.0,1,37.0,1.0,,,,,,,,,26B,1,0,1,0,2014-03-04,2014-04-10,37
770178,F,BRO,BRO,BRO,REJ,UTF,,,,,21,A,,2014-03-05,2014-03-04,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,21A,1,1,0,0,2014-03-04,2014-03-05,1
769934,F,NYM,NYM,NYM,CLD,DNY,,,,,21,A,2014-04-13,2014-04-17,2014-03-04,0,0,1,0,0,1,1,,0.0,1,44.0,0.0,,,,,,,,,21A,1,0,1,0,2014-03-04,2014-04-17,44
769933,F,NYM,NYM,NYM,CLD,DNY,,,,,21,A,2014-03-24,2014-03-21,2014-03-04,0,0,1,0,0,1,1,,0.0,1,17.0,1.0,,,,,,,,,21A,1,0,1,0,2014-03-04,2014-03-21,17
770958,F,BRO,BRO,BRO,REJ,IAT,INF,CON,RSF,,35,A,,2014-03-12,2014-03-04,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,1.0,0.0,0.0,0.0,35A,1,1,0,0,2014-03-04,2014-03-12,8
765379,R,RBK,RBK,NER,CLD,DNY,,,,,19,F,2014-04-02,2014-04-02,2014-03-03,0,0,1,0,0,1,1,0.0,0.0,1,30.0,1.0,0.0,,,,,,,,19F,2,0,2,0,2014-01-22,2014-04-02,70
769887,R,CNK,FAI,NER,REJ,UTR,RSR,OTH,,,20,E,,2014-03-03,2014-02-28,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20E,1,1,0,0,2014-02-28,2014-03-03,3
769692,R,BRO,BRO,NER,REJ,DHO,OTH,RSR,,,20,D,,2014-02-27,2014-02-27,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2014-02-27,2014-02-27,0
769698,R,BRO,BRO,NER,REJ,DHO,OTH,FRM,ONE,CPG,20,D,,2014-02-27,2014-02-27,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2014-02-27,2014-02-27,0
769695,R,BRO,ATL,NER,REJ,DHO,OTH,FRM,,,20,D,,2014-02-27,2014-02-27,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2014-02-27,2014-02-27,0
769694,R,BRO,ATL,NER,REJ,DHO,OTH,FRM,,,20,D,,2014-02-27,2014-02-27,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2014-02-27,2014-02-27,0
769245,F,BRO,BRO,BRO,REJ,UTF,,,,,21,A,,2014-03-11,2014-02-25,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,21A,2,2,0,0,2014-02-25,2014-03-11,14
769229,F,BRO,BRO,BRO,CLD,DNY,,,,,21,A,2014-04-06,2014-03-20,2014-02-25,0,0,1,0,0,1,1,,0.0,1,23.0,1.0,,,,,,,,,21A,1,0,1,0,2014-02-25,2014-03-20,23
761461,A,OTV,OTV,BOP,REJ,RAP,OTH,RSA,,,34,Z,,2014-04-01,2014-02-25,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,34Z,3,1,2,0,2013-12-16,2014-04-01,106
770628,F,BRO,BRO,BRO,REJ,UTF,,,,,21,A,,2014-03-10,2014-02-25,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,21A,1,1,0,0,2014-02-25,2014-03-10,13
769242,F,BRO,BRO,BRO,REJ,WRL,,,,,20,C,,2014-02-25,2014-02-25,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,20C,1,1,0,0,2014-02-25,2014-02-25,0
769222,F,BRO,BRO,BRO,CLD,DNY,,,,,26,A,2014-03-17,2014-03-21,2014-02-25,0,0,1,0,0,1,1,,0.0,1,24.0,0.0,,,,,,,,,26A,1,0,1,0,2014-02-25,2014-03-21,24
769224,F,BRO,BRO,BRO,CLO,WDN,,,,,26,A,2014-03-17,2014-03-10,2014-02-25,0,0,0,0,1,1,1,,0.0,1,13.0,1.0,,,,,,,,,26A,1,0,1,0,2014-02-25,2014-03-10,13
753625,A,BRO,FTD,BOP,CLO,XPL,,,,,26,Z,2014-04-26,2015-02-02,2014-02-25,0,0,0,0,1,1,1,,1.0,1,342.0,0.0,,,,,,,,,26Z,4,1,3,0,2013-10-16,2015-02-02,474
769291,R,CNK,BRO,NER,CLD,DNY,,,,,20,E,2014-03-26,2014-03-26,2014-02-24,0,0,1,0,0,1,1,0.0,1.0,1,30.0,1.0,0.0,,,,,,,,20E,1,0,1,0,2014-02-24,2014-03-26,30
754213,A,OTV,OTV,BOP,REJ,WRL,INS,,,,24,F,,2014-03-26,2014-02-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,24F,3,3,0,0,2013-10-15,2014-03-26,162
764589,A,OTV,OTV,BOP,REJ,WRL,INS,OTH,,,26,H,,2014-03-27,2014-02-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,26H,3,3,0,0,2014-01-14,2014-03-27,72
758340,A,OTV,OTV,BOP,REJ,WRL,INS,,,,24,F,,2014-03-26,2014-02-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,24F,2,2,0,0,2013-11-12,2014-03-26,134
758339,A,OTV,OTV,BOP,REJ,WRL,INS,,,,24,F,,2014-03-26,2014-02-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,24F,2,2,0,0,2013-11-12,2014-03-26,134
758338,A,OTV,OTV,BOP,REJ,WRL,INS,,,,24,F,,2014-03-26,2014-02-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,24F,2,2,0,0,2013-11-12,2014-03-26,134
758333,A,OTV,OTV,BOP,REJ,WRL,INS,,,,33,H,,2014-03-26,2014-02-24,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,33H,2,2,0,0,2013-11-12,2014-03-26,134
758295,A,OTV,OTV,BOP,CLD,DNY,,,,,19,F,2014-04-25,2014-05-08,2014-02-24,0,0,1,0,0,1,1,,0.0,1,73.0,0.0,,,,,,,,,19F,3,0,3,0,2013-11-20,2014-05-08,169
756804,A,BRO,BRO,BOP,CLO,XPL,,,,,35,C,2014-04-25,2014-12-04,2014-02-24,0,0,0,0,1,1,1,,0.0,1,283.0,0.0,,,,,,,,,35C,4,1,3,0,2013-11-07,2014-12-04,392
756808,A,BRO,BRO,BOP,CLO,XPL,,,,,33,A,2014-04-25,2014-05-27,2014-02-24,0,0,0,0,1,1,1,,0.0,1,92.0,0.0,,,,,,,,,33A,4,1,3,0,2013-11-07,2014-05-27,201
756806,A,BRO,BRO,BOP,CLD,DNY,,,,,33,C,2014-04-25,2014-05-19,2014-02-24,0,0,1,0,0,1,1,,0.0,1,84.0,0.0,,,,,,,,,33C,4,1,3,0,2013-11-07,2014-05-19,193
761904,F,BRO,BRO,BRO,REJ,MSI,ONE,UTF,,,11,G,,2014-02-21,2014-02-21,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,11G,2,2,0,0,2013-12-19,2014-02-21,64
768929,R,CNK,NYM,NER,CLG,PAR,,,,,20,E,2014-03-23,2014-03-21,2014-02-21,0,0,0,1,0,1,1,0.0,1.0,1,28.0,1.0,0.0,,,,,,,,20E,1,0,0,1,2014-02-21,2014-03-21,28
768879,F,BRO,BRO,BRO,CLO,XPL,,,,,31,Z,2014-04-02,2014-03-14,2014-02-21,0,0,0,0,1,1,1,,0.0,1,21.0,1.0,,,,,,,,,31Z,1,0,1,0,2014-02-21,2014-03-14,21
768884,R,BRO,BRO,NER,REJ,UTR,RSR,OTH,,,20,C,,2014-02-21,2014-02-21,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20C,1,1,0,0,2014-02-21,2014-02-21,0
768835,F,BRO,BRO,BRO,CLD,DNY,,,,,25,D,2014-04-02,2014-03-27,2014-02-21,0,0,1,0,0,1,1,,0.0,1,34.0,1.0,,,,,,,,,25D,1,0,1,0,2014-02-21,2014-03-27,34
768817,F,BRO,BRO,BRO,CLO,WDN,,,,,19,B,2014-03-13,2014-02-25,2014-02-21,0,0,0,0,1,1,1,,0.0,1,4.0,1.0,,,,,,,,,19B,1,0,1,0,2014-02-21,2014-02-25,4
768819,F,BRO,BRO,BRO,CLO,WDN,,,,,19,B,2014-03-13,2014-02-27,2014-02-21,0,0,0,0,1,1,1,,0.0,1,6.0,1.0,,,,,,,,,19B,1,0,1,0,2014-02-21,2014-02-27,6
768821,F,BRO,BRO,BRO,CLO,XPL,,,,,33,H,2014-03-13,2014-03-03,2014-02-21,0,0,0,0,1,1,1,,0.0,1,10.0,1.0,,,,,,,,,33H,1,0,1,0,2014-02-21,2014-03-03,10
768813,F,NYM,NYM,NYM,CLO,WDN,,,,,21,A,2014-03-13,2014-03-07,2014-02-21,0,0,0,0,1,1,1,,0.0,1,14.0,1.0,,,,,,,,,21A,1,0,1,0,2014-02-21,2014-03-07,14
768932,R,CNK,NYM,NER,CLG,PAR,,,,,20,E,2014-03-23,2014-03-21,2014-02-21,0,0,0,1,0,1,1,0.0,1.0,1,28.0,1.0,0.0,,,,,,,,20E,1,0,0,1,2014-02-21,2014-03-21,28
758337,A,OTV,OTV,BOP,REJ,WRL,INS,,,,24,F,,2014-03-18,2014-02-21,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,24F,2,2,0,0,2013-11-12,2014-03-18,126
768891,R,RBK,RBK,NER,REJ,SIG,RSR,,,,20,D,,2014-02-21,2014-02-21,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2014-02-21,2014-02-21,0
768675,F,BRO,BRO,BRO,REJ,INF,MLT,UTF,,,34,A,,2014-02-20,2014-02-20,0,1,0,0,0,1,0,,,0,,,,,1.0,0.0,1.0,0.0,0.0,0.0,34A,1,1,0,0,2014-02-20,2014-02-20,0
768696,F,BRO,BRO,BRO,CLO,XPL,,,,,25,Z,2014-03-12,2014-03-12,2014-02-20,0,0,0,0,1,1,1,,0.0,1,20.0,1.0,,,,,,,,,25Z,1,0,1,0,2014-02-20,2014-03-12,20
764544,R,BRO,BRO,NER,CLD,DNY,,,,,20,C,2014-03-22,2014-03-21,2014-02-20,0,0,1,0,0,1,1,0.0,0.0,1,29.0,1.0,0.0,,,,,,,,20C,3,2,1,0,2014-01-10,2014-03-21,70
745404,A,RBK,RBK,BOP,CLD,DNY,,,,,22,A,2014-04-19,2015-08-24,2014-02-18,0,0,1,0,0,1,1,,0.0,1,552.0,0.0,,,,,,,,,22A,6,3,3,0,2013-08-07,2015-08-24,747
763265,A,BRO,BRO,BOP,REJ,RAP,RSA,,,,20,B,,2014-03-18,2014-02-18,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20B,2,1,1,0,2014-01-02,2014-03-18,75
760608,R,RBK,RBK,NER,REJ,INS,IRQ,RSR,,,19,F,,2014-02-25,2014-02-18,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,1.0,0.0,0.0,19F,2,2,0,0,2013-12-03,2014-02-25,84
765183,R,BRO,BRO,NER,REJ,FRM,IRQ,RSR,,,21,A,,2014-02-20,2014-02-18,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,1.0,0.0,0.0,21A,2,1,1,0,2014-01-21,2014-02-20,30
768473,R,OTV,OTV,NER,REJ,UTR,OTH,RSR,,,20,C,,2014-02-19,2014-02-18,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20C,1,1,0,0,2014-02-18,2014-02-19,1
768680,F,BRO,BRO,BRO,REJ,MSI,RSF,,,,33,H,,2014-02-20,2014-02-17,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,33H,1,1,0,0,2014-02-17,2014-02-20,3
768428,F,OTV,OTV,OTV,CLD,DNY,,,,,21,A,2014-03-06,2014-02-26,2014-02-14,0,0,1,0,0,1,1,,0.0,1,12.0,1.0,,,,,,,,,21A,1,0,1,0,2014-02-14,2014-02-26,12
768393,R,OTV,OTV,NER,REJ,FRM,QUA,DHO,RSR,,20,D,,2014-02-18,2014-02-14,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2014-02-14,2014-02-18,4
768396,R,RBK,RBK,NER,REJ,INS,IRQ,,,,25,B,,2014-02-18,2014-02-14,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,25B,1,1,0,0,2014-02-14,2014-02-18,4
768432,F,OTV,OTV,OTV,CLD,DNY,,,,,21,A,2014-03-06,2014-02-26,2014-02-14,0,0,1,0,0,1,1,,0.0,1,12.0,1.0,,,,,,,,,21A,1,0,1,0,2014-02-14,2014-02-26,12
766284,R,OTV,OTV,NER,CLD,DNY,,,,,26,B,2014-03-16,2014-03-14,2014-02-14,0,0,1,0,0,1,1,0.0,0.0,1,28.0,1.0,0.0,,,,,,,,26B,2,0,2,0,2014-01-28,2014-03-14,45
767917,F,OTV,OTV,OTV,CLO,WDN,,,,,34,A,2014-03-04,2014-02-26,2014-02-12,0,0,0,0,1,1,1,,0.0,1,14.0,1.0,,,,,,,,,34A,1,0,1,0,2014-02-12,2014-02-26,14
768390,R,BRO,BRO,NER,REJ,FRM,DHO,,,,20,D,,2014-02-18,2014-02-12,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2014-02-12,2014-02-18,6
768018,R,BRO,SCH,NER,REJ,INS,,,,,34,A,,2014-02-12,2014-02-11,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,34A,1,1,0,0,2014-02-11,2014-02-12,1
767777,F,OTV,OTV,OTV,CLD,DNY,,,,,26,Z,2014-03-02,2014-02-19,2014-02-10,0,0,1,0,0,1,1,,0.0,1,9.0,1.0,,,,,,,,,26Z,1,0,1,0,2014-02-10,2014-02-19,9
767629,F,NYM,NYM,NYM,CLD,DNY,,,,,21,A,2014-03-02,2014-02-27,2014-02-10,0,0,1,0,0,1,1,,0.0,1,17.0,1.0,,,,,,,,,21A,1,0,1,0,2014-02-10,2014-02-27,17
767630,F,NYM,NYM,NYM,CLD,DNY,,,,,21,A,2014-03-22,2014-03-12,2014-02-10,0,0,1,0,0,1,1,,0.0,1,30.0,1.0,,,,,,,,,21A,1,0,1,0,2014-02-10,2014-03-12,30
