CASENBR,ITERLVL,CDFCLEVN,CDFCLRCV,CDOFCRCV,CDSTATUS,STATRSN1,STATRSN2,STATRSN3,STATRSN4,STATRSN5,CDSUB1PR,CDSUB1SC,sdtdue,sdtstat,sitdtrcv,accept,reject,deny,grant,other,submit,filed,diffreg_filed,diffinst,closed,comptime,timely,diffreg_answer,overdue,untimely,resubmit,noinfres,attachmt,wronglvl,otherrej,cdsub1cb,subcount,rejcount,cldclocount,clgacccount,earliest_sitdtrcv,latest_sdtstat,days_between
1200217,R,OTV,OTV,NER,REJ,UTR,MEM,OTH,ONE,RSR,20,D,,2024-05-20,2024-05-15,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2024-05-15,2024-05-20,5
1199878,R,OTV,OTV,NER,REJ,INS,,,,,23,Z,,2024-05-16,2024-05-15,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,23Z,1,1,0,0,2024-05-15,2024-05-16,1
1199947,F,OTV,OTV,OTV,REJ,INF,,,,,13,G,,2024-05-16,2024-05-15,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,13G,1,1,0,0,2024-05-15,2024-05-16,1
1199879,R,BRO,BRO,NER,REJ,INS,SEN,,,,34,Z,,2024-05-16,2024-05-15,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,34Z,1,1,0,0,2024-05-15,2024-05-16,1
1199768,R,BRO,BRO,NER,ACC,,,,,,20,D,2024-07-13,2024-05-15,2024-05-14,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-14,2024-05-15,1
1199846,R,CNK,CNK,NER,REJ,FRM,RSR,,,,20,D,,2024-05-16,2024-05-14,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-14,2024-05-16,2
1190814,R,BRO,BER,NER,REJ,FRM,RJA,OTH,RSR,,20,D,,2024-05-16,2024-05-13,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,20D,3,3,0,0,2024-02-12,2024-05-16,94
1195543,R,BRO,BRO,NER,REJ,RJA,OTH,RSR,,,20,D,,2024-05-16,2024-05-13,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,20D,2,2,0,0,2024-04-05,2024-05-16,41
1184515,A,RBK,RBK,BOP,REJ,RAP,RSA,,,,31,Z,,2024-05-21,2024-05-13,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,31Z,4,2,2,0,2023-12-18,2024-05-21,155
1199890,R,OTV,OTV,NER,REJ,DHO,RSR,,,,20,D,,2024-05-16,2024-05-13,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-13,2024-05-16,3
